Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Area-mean temperatures of Switzerland 1864-2026

DOI: 10.18751/Climate/Timeseries/CHTM/1.4
CAT-version: 2.0.4
Creation date: 01.04.2026 (provisional value for the most recent month)

Citation:
Method: Begert M, Frei C. 2018. Long-term area-mean temperature series for Switzerland - Combining homogenized station data and high resolution grid data. Int. J. Climatol., 38: 2792-2807. https://doi.org/10.1002/joc.5460
Dataset: MeteoSwiss. Area-mean temperatures of Switzerland. doi:10.18751/Climate/Timeseries/CHTM/1.4

djf: dec-feb; mam: mar-may; jja: jun-aug; son: sep-nov; winter: oct-mar; summer: apr-sep; year: jan-dec

time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec	djf	mam	jja	son	winter	summer	year
1948	-0.78	-2.57	3.58	4.27	9	10.12	10.47	12.46	9.81	6.3	2.48	-1.82	-2.14	5.62	11.02	6.2	0.98	9.36	5.28
1949	-2.43	-1.92	-1.89	6.61	6.63	11	14.5	13.51	12.7	7.55	-0.3	-0.85	-2.06	3.78	13	6.65	0.12	10.82	5.43
1950	-3.49	-0.8	1.11	1.83	9.18	13.68	15.49	13.28	9.25	5.31	0.55	-5.07	-1.71	4.04	14.15	5.03	0.54	10.45	5.03
1951	-2.47	-2.53	-1.34	2.92	6.9	10.74	13.32	12.5	10.9	4.95	2.07	-1.37	-3.36	2.83	12.19	5.97	-0.93	9.55	4.72
1952	-4.8	-4.94	0.94	5.38	8.38	12.6	15.94	13.7	6.5	4.19	-1.48	-3.34	-3.7	4.9	14.08	3.07	-0.52	10.42	4.42
1953	-5.94	-4.37	0.72	4.57	8.99	9.74	13.29	12.87	10.73	6.79	1.74	-0.33	-4.55	4.76	11.96	6.42	-1.7	10.03	4.9
1954	-6.07	-4.22	1.02	1.79	6.68	11.21	10.59	11.08	9.93	5.64	1.54	-0.83	-3.54	3.17	10.96	5.71	-0.18	8.55	4.03
1955	-1.94	-3.76	-1.95	3.27	6.56	10.77	12.64	11.66	8.99	3.98	-0.05	0.08	-2.18	2.63	11.69	4.31	-0.21	8.98	4.19
1956	-2.09	-11.94	-0.65	1.51	7.9	8.51	12.46	10.95	10.88	3.71	-1.41	-2.64	-4.65	2.92	10.64	4.39	-1.78	8.7	3.1
1957	-3.92	-0.16	3.77	3.58	4.92	11.52	12.76	11.41	8.79	5.82	1.6	-2.58	-2.24	4.09	11.89	5.4	-0.11	8.83	4.79
1958	-3.71	-0.49	-3.32	0.74	9.83	10.24	13.22	13.41	11.58	4.75	0.91	-1.27	-2.26	2.42	12.29	5.75	-0.45	9.84	4.66
1959	-3.69	-0.97	2.61	4.34	8.16	11.23	14.69	12.28	11.18	5.17	-0.24	-1.38	-1.98	5.04	12.73	5.37	0.39	10.31	5.28
1960	-3.9	-1.6	1.21	3.2	8.85	11.95	10.8	11.73	7.94	4.19	1.63	-3.03	-2.29	4.42	11.49	4.59	-0.12	9.08	4.42
1961	-3.14	0.77	1.78	6.11	6.21	11.67	11.61	12.29	13.32	6.43	0.69	-1.38	-1.8	4.7	11.86	6.81	0.37	10.2	5.53
1962	-2.4	-3.74	-3.48	2.81	5.61	10.06	12.14	14.25	9.66	6.12	-1.2	-5.39	-2.51	1.65	12.15	4.86	-0.65	9.09	3.7
1963	-8.59	-7.22	-0.93	4.14	6.75	10.67	13.87	11.32	9.98	5.74	3.05	-4.26	-7.07	3.32	11.95	6.26	-2.87	9.45	3.71
1964	-3.82	-1.47	-0.8	4.48	9.24	12.34	14.57	12.06	10.37	3.41	2.01	-3.25	-3.19	4.3	12.99	5.27	-0.26	10.51	4.93
1965	-2.98	-6.97	-0.63	1.7	6.7	11.41	11.37	11.3	7.65	6.34	-0.15	-1.54	-4.4	2.59	11.36	4.61	-1.4	8.36	3.68
1966	-5.19	1.47	-1.48	4.69	7.93	11.86	11.07	11.09	11.21	7.55	-1.93	-2.61	-1.75	3.71	11.34	5.61	-0.09	9.64	4.64
1967	-3.69	-1.76	0.8	2.11	7.11	9.87	14.69	12.55	9.18	7.93	1.94	-4.24	-2.69	3.34	12.37	6.35	-0.27	9.25	4.71
1968	-4.54	-2.03	0.02	4.5	6.68	10.73	12.35	10.73	8.62	7.66	1.24	-3.86	-3.61	3.73	11.27	5.84	-0.15	8.93	4.34
1969	-2.48	-5.65	-0.39	2.62	8.66	8.88	13.76	11.53	10.56	7.33	0.67	-6.59	-3.99	3.63	11.39	6.19	-0.58	9.34	4.08
1970	-2.86	-3.87	-3.12	0.66	6.09	11.99	12.54	12.65	10.83	5.19	2.39	-3.63	-4.44	1.21	12.39	6.14	-1.4	9.13	4.07
1971	-3.98	-3.28	-4.06	5.51	8.91	9.21	14.32	14.01	9.04	6.84	-0.49	-0.59	-3.63	3.46	12.51	5.13	-1.23	10.17	4.62
1972	-3.29	-0.5	1.85	2.5	6.47	9.59	12.28	11.71	6.57	4.42	1.1	-1.85	-1.46	3.61	11.19	4.03	0.64	8.19	4.24
1973	-2.99	-4.39	-1.35	0.06	8.49	11.52	12.2	14.36	10.75	4.51	0.71	-2.81	-3.08	2.4	12.69	5.32	-0.84	9.56	4.25
1974	-0.29	-1.19	1.77	3.18	6.56	9.31	12.23	13.63	8.96	-0.27	0.31	-0.35	-1.43	3.84	11.72	3	0.45	8.98	4.49
1975	-0.09	-1.61	-1.29	2.71	7.42	9.41	13.11	12.99	11.56	4.57	0.45	-2.24	-0.69	2.95	11.84	5.52	-0.55	9.53	4.75
1976	-2.7	-1.26	-0.77	3.05	8.54	13.14	13.8	11.12	7.99	6.62	0.21	-4.26	-2.07	3.61	12.69	4.94	-0.33	9.61	4.62
1977	-2.9	-0.3	2.71	1.83	6.8	10.19	12.33	11.05	8.55	7.21	0.41	-1.05	-2.48	3.78	11.19	5.39	0.35	8.46	4.74
1978	-3.21	-3.26	0.42	1.99	6.03	9.65	11.83	11.32	9.42	5.57	1.11	-1.03	-2.51	2.81	10.94	5.37	0.09	8.37	4.15
1979	-5.74	-1.8	0.36	1.18	7.16	11.5	12.65	11.31	9.92	6.95	0.15	-0.45	-2.86	2.9	11.82	5.67	-0.25	8.95	4.43
1980	-4.51	-0.76	-0.01	0.69	5.86	9.05	10.68	13.41	10.93	4.65	0.05	-3.9	-1.91	2.18	11.05	5.21	0.23	8.44	3.85
1981	-5.06	-4.43	2.61	5.02	7.28	11.17	11.75	13.34	10.15	5.12	0.48	-3.6	-4.46	4.97	12.08	5.25	-1.01	9.78	4.48
1982	-1.81	-2.39	-1.01	2.46	8.01	11.92	14.84	12.39	11.87	5.34	2.3	-1.25	-2.6	3.15	13.05	6.5	-0.54	10.25	5.22
1983	-0.63	-5.04	1.04	3.71	5.7	11.83	17.35	13.35	10.75	6.31	1.38	-1.64	-2.3	3.48	14.18	6.15	0.29	10.45	5.34
1984	-3.32	-4.75	-2.3	2.18	4.92	10.28	13.27	12.39	8.23	6.47	3.38	-1.31	-3.24	1.6	11.98	6.03	-0.72	8.54	4.12
1985	-8.05	-2.75	-1.6	3.29	7.46	9.45	14.71	12.91	11.83	7.08	-2.22	0.23	-4.04	3.05	12.35	5.57	-0.64	9.94	4.36
1986	-3.63	-7.49	-0.15	1.62	9.61	11.41	13.1	12.77	10.51	7.4	2.08	-1.85	-3.63	3.69	12.43	6.66	-1.03	9.84	4.61
1987	-6.03	-2.26	-3.22	4.47	5.11	9.51	13.56	13.11	12.95	7.29	1.46	0.33	-3.38	2.12	12.06	7.24	-0.65	9.79	4.69
1988	-0.32	-2.73	-1.43	4.57	9.06	10.58	13.66	13.78	10.01	7.68	0.22	-0.86	-0.91	4.07	12.68	5.97	0.77	10.28	5.35
1989	-0.66	0.11	3.31	2.54	9.21	10.43	14.08	13.34	9.99	7.06	0.61	0.18	-0.47	5.02	12.62	5.89	1.63	9.93	5.85
1990	-1.67	2.1	2.76	2.52	9.79	10.69	14.06	14.31	9.4	7.85	0.4	-3.79	0.21	5.02	13.02	5.88	1.84	10.13	5.7
